-10.000000	-10.233117	-11.846460
-9.000000	-9.277819	-10.846546
-8.000000	-8.343328	-9.849563
-7.000000	-7.412040	-8.858653
-6.000000	-6.508958	-7.845873
-5.000000	-5.634866	-6.907566
-4.000000	-4.782797	-6.035232
-3.000000	-3.963269	-5.211685
-2.000000	-3.183565	-4.432572
-1.000000	-2.445220	-3.693367
0.000000	-1.753864	-3.004876
1.000000	-1.109356	-2.361300
2.000000	-0.527792	-1.778153
3.000000	0.001550	-1.249213
4.000000	0.476073	-0.773909
5.000000	0.888491	-0.361230
6.000000	1.248724	-0.000534
7.000000	1.559174	0.310745
8.000000	1.824203	0.576758
9.000000	2.043816	0.796328
10.000000	2.227863	0.980286
11.000000	2.378857	1.131409
12.000000	2.505851	1.258820
13.000000	2.607449	1.360358
14.000000	2.689033	1.442289
15.000000	2.752797	1.506073
16.000000	2.809900	1.563211
17.000000	2.853021	1.606487
18.000000	2.886655	1.640409
19.000000	2.910797	1.664354
