-8.000000	-8.175589	-2.695319
-7.000000	-7.213201	-1.964567
-6.000000	-6.258168	-1.387262
-5.000000	-5.325895	-0.872706
-4.000000	-4.405684	-0.340689
-3.000000	-3.505997	0.202121
-2.000000	-2.630558	0.770722
-1.000000	-1.777406	1.339796
0.000000	-0.960828	1.846939
1.000000	-0.179616	2.317258
2.000000	0.558010	2.723535
3.000000	1.250814	3.083035
4.000000	1.890024	3.386783
5.000000	2.478706	3.649210
6.000000	3.010476	3.869918
7.000000	3.485102	4.054589
8.000000	3.898829	4.199963
9.000000	4.263725	4.328263
10.000000	4.572688	4.425690
11.000000	4.835530	4.506290
12.000000	5.057736	4.572597
13.000000	5.239397	4.623005
14.000000	5.396094	4.670476
15.000000	5.516764	4.699324
16.000000	5.622777	4.731117
17.000000	5.702108	4.749143
18.000000	5.772950	4.770830
19.000000	5.826058	4.784142
